CIP1,CIP2,CIP3,LIBELLE,CESSION,PUBLIC,CODTVA
2287862,9100000460181,,FANSIDAR CP B/3 AFR,766,1025,0
8139890,9100000931451,3000000187319.0,FANTEM DS 40MG/240MG CP B/6,1000,1340,0
8144081,9100000915091,3000000187272.0,FANTEM FORTE 80/480MG CP/6,1323,1770,0
3179382,3400931793823,,FASIGYNE 500MG CP B/4,2170,2910,0
8120956,9100000749731,8063796.0,FASIPRO 600MG/500MG CP B/10,3318,4450,0
8152488,3000000258521,3000000258521.0,FEBREX PLUS CP B/10,673,900,0
8110900,9100000854001,,FEBRILEX CP B/4 PRES/50,13509,18115,0
1401061,3990000007826,,FEBRIMAX B/10,772,1035,0
8114631,3000000153864,3000000153864.0,FEDATE GEL B/30,1625,2175,0
3319392,3400933193928,3319392.0,FELDENE 20MG DISP CP B/15,2596,3480,0
3263697,3400932636976,3263697.0,FELDENE 20MG GELU B/15,2380,3190,0
1281151,9100001281151,3000000566541.0,FEMIGESTON 100MG CAPS MOL B/10,1779,2385,0
9009913,9100001281161,3000000566589.0,FEMIGESTON 200MG CAPS MOL B/10,3621,4855,0
1281171,9100001281171,3000000566626.0,FEMIGESTON 300MG CAPS MOL B/10,5708,7650,0
9012499,9100001281181,3000000566664.0,FEMIGESTON 400MG CAPS MOL B/10,8190,10980,0
1587281,9100001587281,,FEMOGRA GELU B/60,7207,0,2
998421,9100000998421,,FENA 100/500MG CP B/10,906,1215,0
1178251,3990000003125,3990000003125.0,FENAPAR 100/500MG CP B/30,2260,3030,0
2269580,3000000674352,,FERCEFOL CP B/30,1245,1665,0
8437943,9100001089891,,FEREMI CP B/30,1998,2675,0
2290568,9100000742581,8061538.0,FEROX CAPS B/30,1999,2680,0
2255508,9100000600561,8088566.0,FERRO DENK 50MG CP B/50,2174,2915,0
1804011,9100001804011,3000001096740.0,FERSANG GELU B/60,5090,0,2
8513259,9100001100731,,FERTAB 50MG B/10,3279,4395,0
1835241,9100001835241,,FERTICH MEN CP B/60,22327,0,2
1835221,9100001835221,,FERTICH WOMEN CP B/60,23407,0,2
8160430,9100000995481,,FERTILO FORTE DENK SACH B/30,10365,0,2
5130397,3591550000079,,FERTIMAX 2 GELU B/60,20762,0,2
1202511,3990000003026,,FEVAROL 500/2/30/5MG CP B/200,10366,13900,0
1352461,3000000620526,,FEVERLET FORTE CP B/12,2398,3215,0
8215711,9100003549901,,FIGURIN GELU B/60,7542,0,2
1849861,9100001849861,,FILAZOLE 400MG CP B/1 SPC,235,315,0
1587721,9100001587721,,FILOBEX CP B/100,1034,1385,0
8596908,9100001220791,,FINANEMI CP B/30,1137,1525,0
8046160,9100000439771,8046160.0,FIXIM 200MG B/10,4080,5470,0
1307611,3000000560013,3000000560013.0,FIXIM 400MG CP B/5,4505,6040,0
8142834,9100000979861,3000000230060.0,FIZO 20MG CP B/30,3445,4620,0
1511921,9100001511921,3040000.0,FLAGYL 250MG CP B/20 ES,1772,2375,0
1320301,9100001320301,,FLAGYL 500MG CP B/14        ES,1533,2055,0
8137106,8430308015840,,FLATORIL GEL 5MG/200MG B/45,3046,4080,0
1424461,3990000007956,,FLAXOR CP B/10,2602,3485,0
2252740,3582910063438,,FLEMING 1000/125MG CP B/16,3954,5300,0
8105069,9100000822481,3000000044155.0,FLEXDOL CP/10,1444,1935,0
1711771,3990000016842,,FLEXIMAX 250MG/200MG GEL B30,18755,0,2
1278881,9100001278881,,FLEXPRO EXTRA CP B/20,1928,2585,0
8656310,9100001300541,3000000600092.0,FLIPTOR 10MG CP B/30,3441,4610,0
