CIP1,CIP2,CIP3,LIBELLE,CESSION,PUBLIC,CODTVA
8111503,3000000689509,,ACCUZON 1G INJ FL/1,1948,2610,0
1536661,3000000706541,3000000706541.0,ACFAMOL 40MG IM/IV INJ/1+SOL/1,1066,1430,0
1207581,9100001207581,3000000461648.0,ACILOC 25MG/ML INJ AMP/2ML B/5,3206,4295,0
8304426,9100000715921,,"ACINET S.INJ 1,2G FL/5ML B/1",1459,1955,0
2290143,3583313242178,3583313242178.0,ACUPAN SOL INJ 2ML B/5 AFR,2432,3260,0
1599401,9100001599401,,ADCARB 150MG INJ B/1,8072,10825,0
1599411,9100001599411,,ADCARB 450MG INJ B/1,17739,23785,0
1599421,9100001599421,,ADCIST 50MG INJ B/1,3588,4810,0
1609521,9100001609521,,ADCOV 50MG INJ B/1,790,1060,0
3195317,3400931953173,,ADRENALINE AGT 1MG 1ML B/10,8173,10960,0
1599441,9100001599441,,ADRIB 50MG INJ B/1,3658,4905,0
1599471,9100001599471,,ADVIN 50MG INJ B/1,20000,55495,0
3477547,3400934775475,,AETOXISCLEROL TAM 2% IV B/5,16860,22610,0
1306211,3990000002746,,AKUROSE 20MG/ML INJ A/5,7763,10410,0
8149931,9100000959821,,ALCER 40MG INJ B/1,2625,3520,0
1539441,3990000010529,,ALLESTENE 4MG/ML SOL INJ B/3,1946,2605,0
1307631,3000000564660,3000000564660.0,ALLNAT 120MG IV PDR SOLINJ F/1,1809,2425,0
1307621,3000000564653,3000000564653.0,ALLNAT 60MG IV PDR SOL INJ F/1,1083,1450,0
1523911,9100001523911,,AMIFER IV 100MG/5ML B/5,10322,13840,0
2485924,3990000018549,,AMIKA 100MG/2ML INJ B/1,1794,2405,0
2485885,3990000018556,,AMIKA 500MG/2ML INJ B/1,2409,3230,0
1559771,3990000012691,,AMPHONEX 50MG INJ B/1,38475,51595,0
8054461,9100000612211,8054461.0,AMPICILL UBI 1G PDR SOL INJ/50,11805,15830,0
1847641,9100001847641,,AMPICILLINE SOD 1G INJ B/10 TP,2290,3070,0
1220331,4008500060247,,ANDROTARDYL 250MG A.INJ B/1,4804,6440,0
1867911,3000001033646,,ANTAGRA 100MG/ML SOL BUV/300ML,18524,24840,0
1544031,3000000707753,3000000707753.0,APMALT 100MG/2ML S.INJ AMP B/5,8584,11510,0
8181573,5206938000555,3000000412855.0,APOTEL MAX 10MG/ML S PERF100ML,1514,2030,0
1786241,3000001195931,,AQUANATE 30MG PDRE INJ+SOV /2,696,930,0
1277831,3000000398111,,AQUANATE 60MG INJ B/1,825,1105,0
1879371,9100001879371,3000000222577.0,ARINATE 120MG PDR SOL INJ B/1,2025,2715,0
1879391,9100001879391,,ARINATE 240MG PDR SOL INJ B/1,3425,4590,0
1742581,9100001742581,,ARTEDIS 120MG PDRE INJ FL/1,1685,2260,0
1659781,3000000865705,3000000865705.0,ARTEGEN 120MG PDR INJ/1+SOL/2,1784,2390,0
8171669,3000000340202,3000000340202.0,ARTEGEN 60MG IM/IV PDR S.INJ/1,911,1220,0
1212981,3000000440414,3000000440414.0,ARTEJECT 80MG/ML S.INJ AMP B/6,2952,3955,0
2252349,9100000409691,2252349.0,ARTEM 40MG AMP INJ B/6,2243,3005,0
8043285,9100000409701,8043285.0,ARTEM 80MG AMP INJ B/6,3681,4935,0
2282675,9100000574671,,ARTEMETHER TG INJ 80MG/1ML B/6,3157,4230,0
8099469,9100000717791,8099469.0,ARTEMETHER UBI 20MG INJ B/10,3466,4645,0
8099475,9100000723181,8099475.0,ARTEMETHER UBI 40MG INJ B/10,5171,6935,0
8099452,9100000717801,8099452.0,ARTEMETHER UBI 80MG INJ B/10,6197,8310,0
2253053,9100000545121,2253053.0,ARTESIANE 100MG AMP B/10,6851,9185,0
2264186,9100000277841,2264186.0,ARTESIANE 20MG AMP B/10,4227,5665,0
8109104,9100000830041,,ARTESIANE 300MG INJ 3ML B/1,2302,3085,0
2267279,9100000663491,,ARTESIANE 40MG INJ AMP B/10,5589,7495,0
2264200,9100000277821,8027694.0,ARTESIANE 80MG AMP B/5,3936,5275,0
8022219,3000000222577,3000000222577.0,ARTESUN 120MG S.INJ B/1,1971,2640,0
8172048,3000000339862,,ARTESUN 30MG IV S.INJ B/1,648,865,0
2268439,3000000096185,,ARTESUN 60MG 5% 1ML INJ F/1,993,1330,0
8064689,9100000832691,8064689.0,ARTHEPA -I 80MG A.INJ 1ML B/6,3962,5310,0
2482835,9100001761921,3000001204817.0,ASMONATE 120MG PDR INJ FL/10ML,2044,2740,0
2482841,9100001761911,,ASMONATE 60MG PDR INJ FL/5ML,1081,1450,0
2482885,9100001799081,3000001209591.0,ASMOZOL 40MG INJ 10ML B/1,2722,3650,0
1462311,3990000006348,,"ASPORELIX 0,25MG AMP INJ 2ML/1",17102,22935,0
2283120,9100000565931,,ASTYMIN SN SOL/PERFUSION 200ML,4146,5560,0
3701364,3400937013642,,"ATROPINE AGT 0,50MG 1ML AMP/10",5187,6955,0
3701387,3400937013871,,ATROPINE AGT 1MG 1ML AMP B/10,9454,12675,0
3416652,3400934166525,,"AVAXIM 160U SER PRE 0,5ML/1",12171,16320,0
2482883,9100001761931,,AZIMO 200MG/5ML FL/15ML,1895,2540,0
1520241,3000000658109,,BACPERAZONE 1G/1G SUSP INJ20ML,4836,6485,0
8061857,9100000504981,8061857.0,BACQURE 500MG INJ B/1,7015,9405,0
3272549,3400932725496,,BECILAN 250MG/5ML AMP 5ML B/5,2187,2930,0
8170730,9100001078011,,"BECLAV 1,2G INJ B/1",1507,2020,0
3010269,3400930102695,,BECOZYME AMP INJ 2ML B/12,2667,3575,0
8156782,3000000218747,,BECTACEF 1000/500MG PDR PPI,1767,2370,0
1826091,9100001826091,,"BENZAT50 2,4MUI INJ B/50    3N",9711,13025,0
8054484,9100000612221,,"BENZYLPENI+SOLV 2,4MUI 10ML /1",761,1020,0
8386358,3322544215748,8072045.0,BETAZIDIM 1G IM/IV INJ B/1,7620,10215,0
1745671,9100001745671,,BETOLINA 100MG/20ML INJ B/5,12823,17195,0
1309351,3990000007086,,"BHARGLOB 16,5% A.INJ IM 2ML /1",12826,17200,0
8071896,9100001117051,,BIBA SP FL/100ML,2539,0,2
1599501,9100001599501,,BLEOCEL 15MG INJ B/1,7592,10180,0
1779421,9100001779421,,BLEOMYRA 15MG INJ B/1,7720,10355,0
8127390,3000000109991,3000000109991.0,BONCIPRO 200MG INJ IV FL/100ML,2728,3655,0
1835871,9100001835871,,BORTYRA 2MG INJ B/1,13841,18560,0
1811241,3000001202974,,BUPITROY HEAVY S.INJ 4ML B/5,3501,4695,0
1579031,3400956068944,,BUPIVACAINE RACH AGT 5MG/ML/5,15943,21380,0
5651311,3400956513116,,BUPIVACAINE 5MG/ML 20ML F/10,25687,34445,0
2253739,9100000500161,2253739.0,C TRI 1G INJ B/1,1776,2380,0
5705716,3400957057169,,CALCIUM GLUC PROAMP10% 10ML/50,20139,27005,0
1648541,9100001648541,,CALGLU INJ B/10,1034,1385,0
1761671,9100001761671,,CARBYRA 150MG INJ B/1,8111,10875,0
1761691,9100001761691,,CARBYRA 450MG INJ B/1,17760,23815,0
1696781,9100001696781,,CEF 4G INJ FL/20ML,3603,4830,0
8142159,9100000970101,,CEFEZONE 1G INJ B/1,1781,2385,0
1474501,9100001474501,,CEFLOXINE 200MH INJ POCHE B/1,3578,4795,0
1395991,9100001395991,,CEFONEG 1500 SOL INJ B/01,3717,4985,0
1826071,9100001826071,,CEFTAZ 1G INJ B/1           3N,1948,2610,0
8137537,3000000220863,,CEFTAZIDIME SP 1000MG INJ/1,6823,9150,0
1803911,9100001803911,,CEFTRI LIFE 1G INJ FL/1,823,1105,0
1610971,9100001610971,,CEFTRI 1G INJ B/10 KPHARM,3432,4600,0
1654561,9100001654561,,CEFTRI-LUX 1G B/10,10963,14700,0
1826081,9100001826081,,CEFTRIA 1G INJ B/1          3N,475,635,0
974311,9100000974311,,CEFTRIADIS 1G INJ B/1,578,775,0
1254331,9100001254331,,CEFTRIAXONE BBCA 1G INJ B/1,429,575,0
9013518,9100001330101,3000000628393.0,CEFTRIAXONE IG 1000MG INJ B/1,1261,1690,0
1648571,9100001648571,,CEFTRIAXONE SOD TM INJ 1G B/1,1699,2280,0
8142248,3000000220825,,CEFTRIAXONE SP 1000MG INJ B/1,3144,4215,0
1341631,9100001341631,,CEFTRIAXONE 1G INJ B/1 SLOY,863,1155,0
977991,9100000977991,,CEFTRIAXONE 1G SPC,578,775,0
8137514,3000000220986,,CEFUROXIME SP 750MG INJP+S/1+1,2317,3105,0
3023675,3400930236758,,CELESTENE 4MG AMP INJ B/1,803,1075,0
8386364,3322544215762,8072074.0,CELLTRIAXON 1G IM/IV INJ B/1,2311,3095,0
2271938,9100000693331,,CETAFOR 1000MG IM B/1,2279,3055,0
2271921,9100000693311,,CETAFOR 1000MG IV B/1,2290,3070,0
2274256,9100000693301,,CETAFOR 500MG IV B/1,1930,2585,0
2288809,9100000160721,2288809.0,CETAZONE 1G AMP INJ,2206,2955,0
1584981,4054839967665,,"CETROTIDE 0,25MG AMP INJ/1.",21618,28990,0
1761581,9100001761581,,"CHLORURE SOD 0,9% 500ML BBRAUN",692,930,0
1711921,9100001711921,,"CHLORURE SOD 0,9% 500ML FL/1",578,775,0
8128024,9100000925211,,CIELPRAZ 40MG INJ B/1,2615,3505,0
1578281,3000000784839,3000000784839.0,CILENEM 500MG/500MG PDE PERF/1,6017,8065,0
1538421,9100001538421,,CINOSPAM 40MG/4ML INJ B/6,1605,2155,0
1830091,9100001830091,,CIPINEM 1G INJ FL/20ML,4882,6545,0
1558471,9100001558471,,CIPRO MEDILIX SOL INJ FL/100ML,326,440,0
8054515,9100000593301,,CIPROFLO UBI 100MG INJ F/50ML,1189,1590,0
4996060,3400949960606,,CIPROFLOXACIN KABI 200-100 /10,21009,28175,0
1230711,9100001230711,,CIPROFLOXACIN KABI 200-100 B/1,2101,2820,0
1756371,9100001756371,,CIPROFLOXACIN 200MG 100ML CAMP,521,700,0
2272033,9100000693341,8013924.0,CIPRONAT 200MG IV FL/100ML,5396,7235,0
1735371,9100001735371,,CISPLYRA 50MG INJ AMP B/1,3588,4810,0
8180616,3000000302064,,CLANOXY 1G/200MG PDR INJ B/1,1790,2400,0
8169744,3000000208335,,CLAVAM 1200MG INJ B/1,1500,2010,0
1826051,9100001826051,,"CLAVAMOX 1,2G INJ B/1       3N",1034,1385,0
2481733,9100000624611,,CLAVICIN 1G/200MG INJ B/1,1554,2080,0
2290077,9100000770071,,"CLAVUJECT INJ 1,2G B/1",1539,2060,0
3294806,3400932948062,,CLOPIXOL AP 200MG INJ B/1,4998,6700,0
1826101,9100001826101,,CLOXA 500 INJ B/50          3N,7428,9960,0
1310961,3990000006355,,COMBINATE 60MG+SOL INJ 2AMP/1,918,1230,0
8178192,3700502101218,,"CREACLAV AD 500/62,5MG CP B/16",2188,2930,0
1609531,9100001609531,,CTX GLS 500MG INJ B/1,585,785,0
2254934,9100000608561,,"CURAM 0,5G PDR INJ B/1",1181,1580,0
2254940,9100000608571,,CURAM 1G PDR INJ B/1,1661,2225,0
1442071,9100001442071,,"CYTOPAXEL 100MG/16,7ML B/1",14236,19090,0
1835901,9100001835901,,CYTRABYRA 100MG/ML INJ B/1,803,1075,0
1836071,9100001836071,,CYTRABYRA 1000/10ML INJ B/1,3720,4985,0
1833781,9100001833781,,D-MASTER 80MG/ML SOL INJ B/6,2230,2990,0
1835961,9100001835961,,DACARBYRA 200MG INJ B/1,3211,4305,0
8438865,9100001265131,,DAFRAZOL IV,3047,4085,0
3412565,3400934125652,,"DECAPEPTYL LP 11,25MG AMP B/1",243323,326315,0
3285003,3400932850037,,"DECAPEPTYL LP 3,75MG AMP B/1",93945,125985,0
3285026,3400932850266,,"DECAPEPTYL 0,1MG AMP INJ B/7",24491,32845,0
1408791,3000000597927,,DEPO MEDROL 80MG/2ML INJ B/1,7170,9615,0
1695271,3000001080206,,DEPOFEM 150MG/ML SUSP INJ B/1,799,1070,0
1587711,9100001587711,3000000851197.0,DEXUME 4MG/ML A.INJ B/10,463,620,0
8117457,3990000016989,,"DICACILLINE INJ 2,4MUI AMP B/1",1167,1565,0
2286242,9100000252941,,DICLO DENK 75 INJ AMP 3ML B/10,3602,4830,0
8151201,9100000984871,,DICLO PH5 75 MG/3ML INJ B/6,1996,2675,0
8099512,9100000717781,,DICLOFENAC UBI 75MG INJ A10X10,6762,9065,0
1812551,7640107472343,,DICYNONE 250MG/2ML AMP INJ B/4,1877,2515,0
3200509,3400932005093,,DIPROSTENE SUSP INJ SER B/1,3245,4355,0
1648531,9100001648531,,DIPYROGEN INJECTABLE,920,1235,0
2293845,9100000503711,,DISLEP 25MG INJ B/6,3972,5325,0
1835981,9100001835981,,DOCEMYRA 20MG/1ML INJ B/1,5586,7490,0
1836001,9100001836001,,DOCEMYRA 80MG/4ML INJ B/1,10286,13790,0
8181366,9100001170121,,DOLIMEX PERF POCHE 100ML,1523,2040,0
8155239,3705629271127,,DOLOTREN AMP INJ B/6,2090,2800,0
3317134,3400933171346,,DOTAREM 10ML IV SOL INJ F/1,15015,20135,0
3317140,3400933171407,,DOTAREM 15ML IV SOL INJ F/1,22442,30095,0
3317157,3400933171575,,DOTAREM 20ML IV SOL INJ F/1,29072,38985,0
1779431,9100001779431,,DOXOBYRA 50MG INJ B/1,3722,4990,0
1836021,9100001836021,,DRONYRA 4MG INJ B/1,2401,3220,0
8169827,9100002959601,,DYNAMOGEN AMP BUV B/20,3104,4160,0
8098659,9100000659641,,DYNAPAR AQ 75MG/ML AMP INJ B/5,2379,3190,0
3431580,3400934315800,,EDEX 10MCG INJ CART B/2,14291,19165,0
3431858,3400934318580,,EDEX 20MCG INJ CARTOUCHES B/2,14318,19200,0
8105023,9100000820941,,ENCIFER INJ B/5,9333,12515,0
1345101,3990000007093,,"ENDOPROST 125MCG/0,5ML INJ B/1",1885,2525,0
1345111,3990000007109,,ENDOPROST 250MCG/1ML INJ B/1,3008,4030,0
2264499,9100000297311,2264499.0,"ENHANCIN 1,2G INJ B/1",1445,1935,0
2252680,9100000743281,,ENOXA 2000UI ANTIXA SER PRE/2,2902,3890,0
2252757,9100000743291,,ENOXA 4000 UI ANTIXA SER PRE/2,4558,6110,0
2252941,9100000743301,,ENOXA 6000 UI ANTIXA SER PRE/2,5403,7245,0
2252958,9100000743311,,ENOXA 8000 UI ANTIXA SER PRE/2,6215,8330,0
5843507,3400958435072,,EPHEDRIN AGT 3MG/ML AMP10ML/10,8817,11820,0
5639020,3400956390205,,EPHEDRINE AGT 3% AMP 1ML B/10,8687,11645,0
8146097,9100000939241,,ESOMED 40MG INJ B/1,3049,4085,0
1565321,3990000010499,3990000010499.0,ESOZOL 40MG IV PDRE SOL INJ /1,2604,3490,0
1836031,9100001836031,,ETOPYRA 100 INJ IP 100MG/5ML/1,2385,3195,0
3115761,3400931157618,,EXACYL SOL INJ AMP 500MG 5ML/5,5972,8005,0
8123860,9100000865421,,FEVASTIN 10MG IV FL/100ML,1210,1620,0
8596920,9100001220801,,FINANEMI SOL INJ 20MG B/5,3703,4965,0
2281894,3582910063261,8094727.0,FLEMING 1G 200MG INJ AMP/5,5556,7450,0
1766311,9100001766311,,FLUROMYRA 500MG INJ,426,570,0
1239311,3990000003828,,FOLICULIN 150UI S.INJ AMP B/1,14528,19480,0
1239301,3990000003811,,FOLICULIN 75UI S.INJ AMP B/1,7708,10335,0
1638761,3990000008663,,FOLIGRAF 1200UI S.INJ B/1,128228,171960,0
1345131,9100001345131,,FUCLO 1G INJ B/1,1809,2425,0
8181372,9100001170921,,FUCLO 500MG INJ B/1,1078,1445,0
1733041,9100001733041,,FYTOBACT 1G INJ FL/20ML,2614,3505,0
1737191,9100001737191,,FYTOBACT 2G INJ FL/20ML,4320,5790,0
8164132,3000000302088,3000000302088.0,GALPEN 1 P.INJ.SOLV B/1,5033,6750,0
3286209,3400932862092,,GARDENAL 40MG/2ML P+S ENF /1,4735,6350,0
8102734,9100000781341,,GASPRAL INJ 40MG IV PDR+SOLV/1,2002,2685,0
609201,9100000609201,8093403.0,GEBECEF 1G PDRE INJ B/1,1457,1955,0
962051,9100000962051,3000000215432.0,GEBEXIME 750MG S.INJ AMP+S /1,1505,2020,0
2271476,9100003991501,,GELOFUSINE INJ 4% FL/500ML,3660,4910,0
1599531,9100001599531,,GEM RTU 1G INJ B/1,9262,12420,0
1761701,9100001761701,,GEMTYRA RTI 1G INJ B/1,9264,12420,0
8165700,3000000317037,,GEN M 120MG IM/IV PDR SOL B/10,15189,20370,0
1065131,3000000317051,,GEN M 30MG IM/IV PDR SOL B/10,5168,6930,0
8165692,3000000317044,,GEN M 60MG IM/IV PDR SOL B/10,7793,10450,0
1523421,3000000673027,,GENCLAV 1G/200MG IM/IV PDR F/1,1805,2420,0
1744671,3000000772966,,GENEM 1G IV PDRE INJ PERF B/1,8587,11515,0
8111006,3000000086018,,GENPAR INJ IV 1000MG FL/100ML,1016,1360,0
1611001,9100001611001,,GENTA 80MG/2ML INJ B/10 KPHARM,1377,1845,0
1341591,9100001341591,,GENTAMICIN 80MG INJ B/100 SLOY,5915,7930,0
3512054,3400935120540,,GENTAMICINE PAN 160MG INJ/10AF,6694,8975,0
2262193,9100004038621,,GENTAMICINE PAN 80MG INJ/10 AF,3404,4565,0
7104754,3401571047543,,GESTARELLE G OLIGOVIT B/30,3516,0,2
8397600,9100000716761,,GLEVO IV S.INJ FL/100ML,4863,6520,0
2021650,9100004133291,,GLUCOSE ISO 5% FL/250ML SIPP,578,775,0
2021667,9100004133421,,GLUCOSE ISO 5% FL/500ML SIPP,658,880,0
1627251,9100001627251,,GLUCOSE MEDILIX 5% IV /500ML,334,450,0
2262201,9100004132641,,GLUCOSE 10% F/500ML,668,895,0
2023324,9100004132621,,GLUCOSE 10% FL/250ML PLTCAM,596,800,0
1826021,9100001826021,,GLUCOSE 10% FL/500ML        3N,492,660,0
1711901,9100001711901,,GLUCOSE 10% SOL PERF FL/1,578,775,0
1826011,9100001826011,,GLUCOSE 5% FL/250ML         3N,349,470,0
1756481,9100001756481,,GLUCOSE 5% FL/250ML       CAMP,455,610,0
1097051,9100001097051,,GLUCOSE 5% FL/250ML SPC,600,805,0
1756511,9100001756511,,GLUCOSE 5% FL/500ML       CAMP,521,700,0
1761591,9100001761591,,GLUCOSE 5% FL/500ML BBRAUN,692,930,0
1097021,9100001097021,,GLUCOSE 5% FL/500ML SPC,600,805,0
1585061,9100001585061,,GLUCOSE 5% POLYION 250ML  SIPP,735,985,0
2262224,9100004132501,,GLUCOSE 5% POLYION 500ML SIPP,859,1150,0
3577929,3400935779298,,GONAL F PDR+S 75UI/ML B/1,14565,19530,0
3634797,3400936347977,,"GONAL F STYL 300UI/0,5ML +8AIG",55747,74755,0
3634811,3400936348110,,"GONAL F STYL 900UI/1,5ML+20AIG",164058,220015,0
8161062,9100000983361,3000000277027.0,GRANI-DENK 1MG/ML AMP 1ML B/5,7974,10690,0
8159289,9100000983371,3000000323281.0,GRANI-DENK 1MG/ML AMP 3ML B/5,11497,15415,0
1354081,3000000567340,,GYNOGEN HP 75UI PDR+S/1+1,8612,11550,0
8181389,9100001170931,,GYNOSPAN INJ B/6,1748,2340,0
1235781,9100001235781,,HAEM UP 1ML INJ AMP B/5,5207,6980,0
3269932,3400932699322,3400932699322.0,HALDOL DECANOAS SOL INJ 1ML /1,2379,3190,0
3263510,3400932635108,3263510.0,HALDOL DECANOAS SOL INJ 1ML /5,10624,14245,0
3047189,3400930471890,,HALDOL 5MG AMP INJ 1ML B/5,833,1115,0
8112744,5206938000098,,HEMAFER IM S.INJ AMP/5 EXP8581,10798,14480,0
1237361,3000000506080,,HEMAX 4000UI S.INJ B/1,17141,22985,0
8188664,9100000949041,,HEXAXIM 1SER SSA+2AIG,18811,25225,0
1566841,3000000673836,3000000673836.0,HOLLEYCORT 40MG/1ML SOL INJB/1,1064,1425,0
9027236,3990000003859,,HUCOG HP 5000UI SC IM B/1,5173,6935,0
1213671,3990000003842,,HUMOG HP 150UI SC/IM INJ 1ML,11124,14915,0
9029287,3990000003835,,HUMOG HP 75UI SC/IM INJ 1ML,6002,8045,0
1897501,9100001897501,,HYOSPA 20MG INJ B/10,3794,5085,0
1624621,9100001624621,,IFOMIRA M 1G INJ B/1,5747,7705,0
1109941,9100001109941,,IMECOS CL 1000MG IV B/1,5836,7825,0
1651311,9100001651311,,IMI LUX 500MG/10ML SOL FL/1,5584,7485,0
8129377,3000000164709,,INDOZONE 1G IV/IM INJ,1347,1805,0
8129383,3000000164747,,"INDOZONE-S 1,5G IV/IM INJ",2627,3520,0
1591041,5000456062367,,INEXIUM INF 40MG INJ 5ML B/10,34214,45880,0
2252645,9100000682881,8020367.0,INFLACAM 20MG INJ B/3,1713,2295,0
1609551,9100001609551,,INOTAD 100MG INJ B/1,9849,13205,0
2264602,9100000151151,,INS NOVO ACTRAPID HM100UI 10ML,4978,6675,0
2264619,9100000151161,,INS NOVO INSULATAR HM100UI10ML,4940,6625,0
2264625,9100000151171,,INS NOVO MIXTAR 30 HM100UI10ML,4969,6665,0
3567664,3400935676641,,INS NOVOMIX 30 FLEXPEN 3ML B/5,28778,38590,0
3552740,3400935527400,,INS NOVORAPID FLEXPEN 3ML B/5,29740,39880,0
8061389,9100000504441,,INSULET MIX 100UI/ML INJ  10ML,4463,5985,0
8130392,3000000023020,,INTRALGINE PERF 1% F/100ML,1461,1955,0
8048928,3990000000483,,INTRAXONE 1G IM IV INJ B/1+1,1176,1575,0
8109736,9100000841511,,IPPROTON 40MG INJ IV B/10,24957,33470,0
1761641,9100001761641,,IRNOTYRA 100MG INJ B/1,9845,13200,0
9001171,9100000807271,,IVEFERAN 100MG S.INJ 5ML B/5,9474,12705,0
1195202,3000000039977,3000000039977.0,IVEPRAL 40MG INJ PDRE+SOLV B/5,7993,10715,0
2252272,3160929640972,2252272.0,JUVAMINE GINS TONUS AMP BUV/10,4091,0,2
8167395,3000000302033,3000000302033.0,KEFTAZ 1G IM/IV PDR INJ B/1,2115,2835,0
3024344,3400930243442,,KENACORT RET 40MG/1ML FL VER/1,2668,3575,0
1647891,9100001647891,,KENZOPRAZOL IV INJ B/10,21583,28940,0
1670911,9100001670911,,KEPAM 500MG INJ B/10,49364,66200,0
1558391,3000000707012,,KETESSE 50MG S.INJ AMP/2ML /20,10814,14500,0
8172350,3000000362709,3000000362709.0,KETESSE 50MG S.INJ AMP/2ML B/1,707,945,0
8170813,3000000362716,3000000362716.0,KETESSE 50MG S.INJ AMP/2ML B/5,2953,3960,0
3772298,3400937722988,,LANTUS SOLOSTAR 100U 3ML ST/5,31536,42290,0
8151230,3000000185513,3000000185513.0,LARINATE 60MG PDR S.INJ 5ML,838,1120,0
8049661,9100000518991,8049661.0,LARITHER 80MG 1ML INJ B/6,3206,4295,0
3421357,3400934213571,3400934213571.0,LAROSCORBINE 1G AMP INJ B/6,2072,2775,0
3057331,3400930573310,,LASILIX 20MG/2ML INJ AMP/1,409,545,0
2259765,3000000258583,,"LERIN 0,2MG/ML A.INJ B/5",1800,2415,0
3304025,3400933040253,,LEVMENTIN 1G/200MG IV B/1,2495,3345,0
2772304,3400927723049,,LIDOCAINE AGT 20MG/ML 10ML/10,4123,5525,0
1455221,3000000460788,3000000460788.0,LIDOCAINE UBI 2% S.INJ FL/20ML,930,1245,0
3062059,3400930620595,3062059.0,LINCOCINE 600MG AMP INJ 2ML /1,1272,1705,0
8166332,7612013195180,,LIVOZED 500 MG INJ FL/100ML,4532,6075,0
3646837,3400936468375,,LOVENOX 2000UI S.INJ SER /2,4276,5730,0
3646866,3400936468665,,LOVENOX 4000UI S.INJ SER /2,5899,7910,0
3646903,3400936469037,,LOVENOX 6000UI S.INJ SER /2,7948,10655,0
3646932,3400936469327,,LOVENOX 8000UI S.INJ SER /2,9146,12265,0
1552131,9100001552131,,LOXAMOX 500MG INJ B/1,4522,6065,0
3311077,3400933110772,,LOXEN 10MG/10ML INJ AMP/5,6152,8250,0
1336491,3990000007734,,"LUPRODEX 11,25MG+SOLV/AMP5ML/1",119582,160365,0
8144075,3990000003781,,"LUPRODEX 3,75MG+SOLV/AMP2ML /1",59850,80260,0
1761631,9100001761631,,LYCOVORA 50MG INJ B/1,791,1060,0
2297033,2940014809863,8031359.0,MAG 2 AMP BUV SS 10ML B/30 AFR,4149,5560,0
3152012,3400931520122,,"MAG 2 INJ 0,8% 10ML AMP/12 AFR",3791,5080,0
3717307,3400937173070,,"MAGNESIUM SULF 1,5G/10MLAGT/50",17985,24115,0
2269309,9100000303521,2269309.0,MAGNORAL AMP BUV 10ML B/20,2755,3695,0
1220321,9100001220321,,MALAVAN 120MG INJ B/1,1747,2340,0
1345121,9100001345121,,MALAVAN 30MG INJ B/1,612,820,0
8150118,9100000975931,,MALAVAN 60MG INJ B/1,1087,1455,0
2023353,9100005496841,,MANNITOL 10% PLTCAM,2694,3615,0
885011,6118001110704,,MAXICLAV 1G/200MG INJ PDR B/1,1588,2130,0
2264708,9100000258461,2264708.0,MAXIMAG AMP BUV B/30,3727,4995,0
8168957,9100000912421,,MENACTRA 1FL 1DOSE,23324,31280,0
3568161,3400935681614,,MENOPUR 75UI INJ IM AMP B/5+5,61540,82530,0
1765861,9100001765861,,MERO 1G INJ FL/1,7424,9955,0
1333521,3000000621660,,MEROMAC 1G INJ B/1,6050,8110,0
2263643,9100000136741,,MESPORIN 1000MG IM AMP+SOLV,3676,4930,0
2263666,9100000136751,,MESPORIN 1000MG IV AMP+SOLV,3687,4940,0
2267150,9100000315211,,MESPORIN 2G IV AMP+SOLV,6886,9230,0
2267167,9100000269761,,MESPORIN 500MG IM AMP+SOLV,3423,4590,0
1708211,9100001708211,,METNIZOLE 500MG/100ML INJ B/1,975,1305,0
1558481,9100001558481,,METRO MEDILIX 500MG INJ /100ML,326,440,0
1882661,9100001882661,,METROFLAZOLE PERF FL/100ML,760,1020,0
8054509,9100000612291,8054509.0,METRONIDAZ UBI 500 S.INJ 100ML,975,1305,0
1756411,9100001756411,,METRONIDAZOLE 500MG 100ML CAMP,463,620,0
1762021,9100001762021,,METYRA 50MG INJ B/1,785,1050,0
1761621,9100001761621,,METYRA 500MG INJ B/1,5733,7685,0
7869422,9100000327021,,MINCEUR FORCE 4 AMP B/30,11635,0,2
1620751,9100001620751,,MIOREL GE 4MG/2ML INJ B/5 23ME,2271,3045,0
1632681,9100001632681,,MONAMOX CL INJ B/1,1263,1695,0
2484648,9100001876961,,MULTIGARD SN SOL INJ FL/200ML,4041,5420,0
3164877,3400931648772,,NEBCINE 100MG S INJ FL AMP/2ML,2549,3415,0
3164860,3400931648604,,"NEBCINE 75MG SOL INJ 1,5ML B/1",2463,3300,0
1299811,3000000549957,,"NEUCLAV 1,2G PDR S.INJ /1",1119,1500,0
1299831,3000000549964,,NEUESOME 40MG IV AMP B/1,3032,4065,0
8152985,3000000320570,,NEUTROPAR INJ 1000MG FL/100ML,1194,1600,0
5700908,3400957009083,,NICARDIPINE AGT 10MG/10ML B/10,10402,13950,0
2225393,3400922253930,,NIMENRIX PDR+S INJ F+SER B/1,31547,42305,0
8169862,3582911100637,2038521.0,NO SPA 40MG INJ 2ML B/25,4372,5860,0
5609355,3400956093557,,NORADRENALINE AGT 8MG/4ML/10,16776,22495,0
2278633,3582911100620,,NOVALGIN AMP INJ 5ML B/5,2707,3630,0
8112460,3000000089293,,"NOVEX 4000UI/0,4ML B/2",4821,6465,0
8112477,3000000089095,,"NOVEX 6000UI/0,6ML B/2",5721,7670,0
8147808,3000000244319,,NURONEM 1G INJ B/1,6876,9220,0
8167389,3000000302019,3000000302019.0,ODICEF 1G IM/IV PDR+SOLV B/1,1102,1475,0
