CIP1,CIP2,CIP3,LIBELLE,TVCODE,CESSION,PUBLIC
3000000897034,8488461,,CINFLAM 200MG/325MG CPR/100,0,749,1005
3532678590486,8691819,,BIOSYNEX THERMOFLASH PREMIUM THERMOM B/1,2,24715,0
3000000259085,0,,CABLE USB ETHERNET,2,0,0
3000000106983,8002518,,CACEF 50MG PDRE SUSP ORAL F/30ML,0,1219,1630
3000001203117,8760182,,TARAXET 25MG CPR PELL B/30,0,0,0
3000000069400,8094986,8403743,CACHEWORM CPR B/6,0,869,1160
3000000069448,8095000,8403766,CACHEWORM SUSP BUV F/30ML,0,922,1230
3000001203100,8760176,,"IXADOL 37,5MG/325MG CPR PELL B/20",0,0,0
3000000508022,8433690,,AMINOCAL CPR B/30,0,0,0
3000000088166,8099363,8405699,CACHART 80MG/480MG CPR B/6,0,1978,2645
3000000529904,8435080,8630108,CACHNERVE GEL B/60,0,8629,11545
3400936440920,3644092,,CACIT VIT D3 500MG/440UI CPR CROQ T/60,0,4292,5740
3016450,0,,CA C 1000 CPR EFFV B/10,0,1333,1780
3000000044117,8091166,,CA C 1000 CPR EFFV ORANGE B/10,0,1329,1775
3692984,0,,CADUET 10MG/10MG CPR B/30,0,7726,10335
3693050,0,,CADUET 5MG/10MG CPR B/30,0,10258,13725
3000000677872,8468783,,CAFFIDOL 600MG/30MG CPR B/10,0,385,515
8043167,0,,CALCIUM+MAG BIOFAR CPR EFFV/20,2,2365,0
3016591,0,,CALCIBRONAT 2G CPR EFFV BT 20,0,2365,3160
3016993,0,,CALSOURCE CALCIUM 500MG CPR EFFV B/20,0,1594,2130
2009494,0,2009494,CAL C VITA CPR EFFV B/10,0,2042,2730
2000872,0,,CALCIMAX SIROP FL 150ML,0,2381,3185
3532678551463,8691825,,BIOSYNEX OVULATION TEST B/10,2,0,0
3557080,0,,CALCIUM SANDOZ 500MG SACH B/30,0,2955,3950
8031773,0,,CALCIUM VIT D3 BIOFAR CPR EFFV T/20,2,2277,0
3000000461686,8521862,,ASTYFER SP F/200ML,0,0,0
3532678590738,8637151,,BIOSYNEX TROD COVID-19 BSS B/25,2,0,0
3566825,0,3566825,CALCIFORTE VIT D3 CPR B/60,0,4287,5735
3532678589312,8691848,,BIOSYNEX TEST DE GROSSESSE 8 JOURS B/1,2,0,0
3532678551630,8691831,,BIOSYNEX TEST VAGINAL PH B/3,2,3454,0
8094377,0,,CALCID DENK CPR EFF B/20,0,3654,4885
3000000023006,8087236,,INIGAST 20MG CPR GASTRO RESIST 3BL10,0,4729,6325
3990000002609,8422120,,CALCINIB 5MG CPR B/28,0,2668,3570
3990000002616,8422137,1168501,CALCINIB 10MG CPR B/28,0,3863,5165
3000000800249,8475978,1488291,OLANAP 10MG CPR B/50,0,6356,8505
8003280,0,,CALMA BB SP F/200ML,2,3916,0
8086142,0,,CALMIXENE SP F/150ML,0,1828,2445
3000000203101,8016762,,CALMET 500MG CPR B/30,0,0,0
3000000216750,8019861,,CALMACIDE CPR A SUCER B/24,0,637,855
3401540910342,8355636,,CALMOSINE DIGEST BIO BOISS APAIS/100ML,2,7772,0
3401540910403,8358563,,CALMOSINE DIGEST BOISS APAIS DOSE/5ML/12,2,7523,0
3664391000109,6246630,,CALMOSINE SOMMEIL BOISS RELAX BIO10ML/14,2,6363,0
3000000399392,8418199,,CALMZ 20MG CPR B/30,0,4297,5750
3000000547595,8436843,,CALORATE KIT 150MG CPR/1 + 400MG CPR/60,2,0,0
2290640,8054722,,CAMOQUIN PLUS AD 600MG/200MG CPR B/3+3,0,2988,4005
3000000800195,8475961,,OLANAP 5MG CPR B/50,0,4546,6080
3000000840818,8480175,,"AMADAY TRIO 5MG/1,25MG/4MG CPR B/30",0,0,0
3401574220172,7422017,,CAMPHRE SYNTHETIQUE COOPER PULV 1KG,0,29446,39395
8038887,0,,CAMVIT MULTIVIT CPR B/30,0,1248,1675
2265702,8038893,8386401,CAMVIT PLUS GEL B/30,0,2466,3300
3000000234440,8025519,,CANAFLUCAN 150MG GEL B/1,0,1936,2590
6549997,0,,CANDEREL CPR SODIQ S/SOD B/100,2,2075,0
6550026,0,,CANDEREL CPR SODIQ S/SOD B/300,2,5060,0
8028647,4032184,8332339,CANDID CR T/20G,0,1142,1525
3000000840825,8480181,,"AMADAY TRIO 10MG/2,5MG/8MG CPR B/30",0,0,0
8028676,4032209,8332351,CANDID PDRE F/30G,0,1314,1755
3000000316658,4032215,8332368,CANDITRAL 100MG CAPS B/4,0,3220,4305
8052114,4203585,,CANDIDERM CR T/15G,0,1536,2055
3000000836071,8479485,,"GANVIR 1,5MG GEL OPHTALMIQ STERILE F/10G",0,4336,5800
3000000836125,8479491,,"NEVXAL 0,1% COLLYRE F/5ML",0,1716,2295
3000000836170,8479516,,"ORCHAZID 0,345MG SOL OPHTAL UNID0,4ML/30",0,4193,5610
3000000836279,8479539,,"TWINZOL 20MG/5MG SOL OPHTAL UNID0,2ML/30",0,7112,9515
3000000848401,8482004,,PHARMACINON 5UI IV/IM SOL INJ AMP/1ML/3,0,1056,1415
3000000848456,8482010,,PHARMACINON 5UI IV/IM SOL INJ AMP1ML/10,0,2787,3740
3000000941249,8490400,,"AMADAY TRIO 10MG/4MG/1,25MG CPR B/30",0,0,0
4250991602691,8457087,,PARAFUSIV 10MG/ML IV SOL INJ FV/50ML/10,0,10912,14630
3518646126642,2025352,,GLYCERINE GILBERT SOL F/60ML,2,1921,0
3000001144236,8730548,,CLAVAM 1G/125MG PDRE SUSP BUV SACH B/16,0,4076,5450
3000001210603,8781735,,OLUWA TEST OVULATION KIT B/1,0,0,0
8076445,0,8378790,CANDID COLLUT F/15ML,0,1050,1405
8083818,0,,CANDI 150MG GEL B/4,0,2572,3440
3000000316603,8091226,,CANDID V6 COMBI T20G+CPR VAG/6+APP KIT/1,0,2505,3350
4031571071836,8781907,,PREGABALINE DENK 150MG GEL B/28,0,0,0
3401351783234,5178323,,CANDES SAV SURGRAS CLARIFIANT PAIN 150G,2,3775,0
3401351783173,8317423,,CANDES SAV EXFO CLARIFIANT PAIN 150G,2,3775,0
3401551243910,8360399,,CANDES HUILE CLARIF NOURISS F/100ML,2,8773,0
3401599190580,8360407,,CANDES LAIT CORPS CLARIF SUBLIME F/400ML,2,11749,0
3401599190290,8360413,,CANDES CR CLARIF UNIF POT/50ML,2,9557,0
3401599190412,8360436,,CANDES TONIQUE CLARIF FRAICHEUR F/200ML,2,7521,0
3401599190351,8360442,,CANDES GEL NETT CLARIF F/200ML,2,6331,0
3401565636036,8360459,,CANDES LAIT FERMETE HYDR CORPS F/400ML,2,9557,0
3000000253991,8037416,,CANDIGEN BG CR T/10G,0,0,0
3401599190641,8374970,,CANDES SERUM CLARIFIANT UNIF F/30ML,2,9713,0
3401360147515,6014751,,CANDES DERMOPURIFIANT GEL NETT F/200ML,2,6810,0
3401360147522,6014752,,CANDES EXFOL CLARIF MASQUE POT/50ML,2,8931,0
2005898,0,,CANESTENE CREME TB 20G,0,2703,3615
2005875,0,,CANESTENE CPR GYNECO BT 6,0,3066,4100
3000000812471,8477121,1639121,CETAMYL 500MG CPR B/20 CAM,0,721,965
3000000812488,8477138,1639111,CETAMYL 500MG CPR EFFV B/16 CAM,0,842,1125
3000000812501,8477150,,DOLAMINE CPR B/20 CAM,0,1480,1980
8283569,0,,CANNE ANGLAISE + EMBOUT,2,4093,0
3401096114324,9611432,,CANNES FRELLY APPUI 130CM BLEU PAIRE/1,0,13119,0
3401577983371,8352388,,CANNE FRELLY CONFORT APPUI BLEU PAIRE /1,0,15874,0
3000000635308,8605748,,CANNES ANGLAISES LABELL ADULTE PAIRE/1,0,13495,0
3000000635315,8605754,,CANNES ANGLAISES ENF COULEUR PAIRE/1,0,21320,0
3000000635322,8605760,,CANNE DE MARCHE REGLABLE ALU /1,0,9245,0
3000000635339,8605777,,CANNE DE MARCHE PLIANTE ALU /1,0,9713,0
2285053,8031945,2285053,CANOVA 50MG CPR B/4,0,6261,8375
2297240,8031951,,CANOVA 100MG CPR B/4,0,13672,18290
3000000812525,8477173,,GASTROGEL SUSP BUV F/250ML CAM,0,1721,2300
3000000812549,8477204,,MUCOCIL 5% AD SP F/125ML CAM,0,1414,1890
2264306,8021444,2264306,CAPTOPRIL DENK 25MG CPR B/100,0,6011,8040
2270028,8034458,2270028,CAPTOPRIL DENK 25MG CPR B/20,0,1425,1905
2252361,8042498,,CAPTOPRIL+HCT DENK 50/25MG CPR 10BL10,0,7487,10015
8090770,2261176,2261176,CAPTOPRIL+HCT DENK 50/25MG CPR B/30,0,2375,3175
3000000361764,8392979,,CAPTEUR TEMP ENREGISTREUR DONNEES BL30/1,2,57801,0
3401574220523,8334812,,CARAMEL LIQUIDE F/250ML,0,15502,20740
4031571069970,8781913,,PREGABALINE DENK 75MG GEL B/28,0,0,0
3000000812556,8477210,,MUCOCIL ENF SP F/125ML CAM,0,1151,1540
3000000812563,8477227,,NEOMOX 125MG/5ML SUSP BUV F/100ML CAM,0,1145,1530
3273129,0,,CARBOSYLANE 24DOSE DE 2 GELULE,0,2002,2675
3000000073483,8035334,,CARBOTOUX 5% SP F/100ML,0,1346,1800
2265719,8051936,,CARBOCYSTEINE 2% SOL BUV F/100ML,0,714,955
2287974,8060846,,CARBOCYSTEINE ISDA 5% SP F/100ML,0,776,1040
3000000316580,4211656,8382610,CARBOTOUX 375MG GEL B/20,0,1314,1755
8236009,0,,BOIS BANDE SOL BUV F/125ML,2,0,0
3000000107638,8326273,,PROSTAGENOL GEL B/60,2,0,0
8022969,0,,CARBOMUC 5% AD SP F/125ML,0,2052,2745
3000000812570,8477233,1638991,NEOMOX 250MG/5ML SUSP BUV F/100ML CAM,0,1085,1450
3000000283387,8059932,,CARBOCISTEINE AFRIP 5% AD SP F/200ML,0,1713,2295
3401560147858,6014785,,CARBOPHOS CHARBON VEGETAL CPR CROQ B/40,0,1891,2530
3000000267394,8054550,,CARCEL 2% SP F/100ML,0,571,765
3000000267714,8054745,,CARCEL 5% SP F/100ML,0,571,765
3000000812587,8477256,,PENISTAPH 125MG/5ML PDR SUSP BUV60ML CAM,0,1074,1435
3400935296818,3529681,3529681,"CARDENSIEL 1,25MG CPR B/30",0,3959,5295
3400935297068,3529706,3529706,"CARDENSIEL 2,5MG CPR B/30",0,2462,3290
3400935297419,3529741,3529741,CARDENSIEL 5MG CPR B/30,0,2462,3290
2299888,8068380,,CARDIURINE CPR B/30,0,2855,3820
3700225600784,8347861,,VITAMIN 22 SPECIFIC FEMME GEL B/60,2,0,0
